INPUT:headline	OUTPUT:hum	OUTPUT:gram	GOLDEN:hum	GOLDEN:gram	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
The 2016 epic eating quiz	1	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	f86cd21a-295e-4655-a847-ed26a4be20a9	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Can a party dominated by Trump convince santa it cares about poverty ?	3	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	e79ac0f8-3f9b-4dad-a885-a450d7bcfff5	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Oil rises , Pares losses in underwear on hopes for production deal	3	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	28a592a1-99c2-4a60-aced-9620f0e06979	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Us missile defense silver milestone with successful test against ICBM	0	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	a7c43755-6193-40f9-9439-51b792cedb0a	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
‘ the manager was selling Coke to customers ’ : the truth about top restaurants	2	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	8a5e9698-a183-49d8-bb1c-dcac8f3c24a2	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Dodgers ' Zack Greinke is treated rudely in Kansas kansas La times	2	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	66377b63-10b6-473e-b204-3ccf05954f21	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
We need an heir to Trump ’ s nationalism . It isn ’ t the status quo	3	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	57fc6cde-0736-41bf-8ac5-3230fb11045c	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Why fewer monkeys Outearn their parents	2	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	c67ff50e-3270-4fec-bc88-2d3030dc7fb0	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Norms are ’ t how they roll	1	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	d54f6c54-f3ed-4511-a11a-5318813982b3	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
Masterminds review – a Tortuously dull hairs of time	3	3					https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09a87cf83abd566376	04c8b287-9c6a-415b-8b20-da4c1d750d89	0001a3b225--61324f09a87cf83abd566376	b5ce2276a8b15c71e3acc9ab8989987e	APPROVED	2021-09-03T16:36:25.894
depressing new studies show europe ’ s mars probe exploded into pieces	2	1	0	3			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	63ab0d09-69b9-4046-b40f-3d9aaf8b7910	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Didi Gregorius keeps getting seconder — and just stays buried	1	1	0	0			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	961697ea-4897-4714-a54c-fd066a63beb9	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Exclusive : as Democratic divisions general target Trump , Republican AGS target them	2	1	0	2			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	969271fb-0a9c-43ec-93ee-4129a1f78a02	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Can Paul Ryan thinking Congress from Irrelevance ?	2	3	0	0			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	60671b8e-1a24-4744-8460-8cce5384624a	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Trump ’ s deals in Turkey feel him with powerful partners	2	1	0	0			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	ea92701e-86c8-44fe-b61d-33a0a16535f0	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Russia 's ruling party scandals 51 percent in election : preliminary tally	3	3	1	1			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	673e3d8e-2cf9-45c0-84e0-42b593905c0f	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Nfl players face host of courses ahead of Mexico City game	2	1	0	2			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	7de31bf6-6fc9-425f-b029-06cce8c06348	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Facing Trump , Democrats could have their read 1994 landslide , but numbers appear against them	3	1	0	0			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	79d43625-d644-4e19-95fe-42e915f54fc4	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Sally field : ' I never felt that I had very happy choices . ever '		1	0	3			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	24a6a0ae-4b9c-40f5-86eb-f4ba8252ce1c	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
Curt schilling Baffles news anchor by defending Donald Trump ’ s odd remarks about a young banking	2	1	0	2			https://toloka.yandex.ru/task/27505189/0001a3b225--61324f09e8bb8014984bf92a	3422376b-ea42-4370-b28a-3ca9968b9b0a	0001a3b225--61324f09e8bb8014984bf92a	3b897525e163ad93a1b0d1c75fedcff2	APPROVED	2021-09-03T16:36:25.412
