	id	title_orig_case	source	headline	masked	predicted	new span	predicted_score	method	Humorousness	Grammaticality	Humorousness_b	Grammaticality_b
4	212657	As he moves campaign to battlegrounds, which Donald Trump will show up?	AllTheNewsKaggle	As he moves campaign to battlegrounds, which Donald Trump will show up?	As he moves campaign to battlegrounds , which Donald [MASK] will show up ?	As he moves campaign to battlegrounds , which Donald duck will show up ?	duck	0,9815598726	bert_humedit	3	3	2	3
5	203477	Trump has endorsed the Dakota Access Pipeline. The next move is Obama’s.	AllTheNewsComponentsOne	Trump has endorsed the Dakota access pipeline. the next move is Obama ’ S.	Trump has endorsed the Dakota access pipeline . the next [MASK] is Obama ’ S.	Trump has endorsed the Dakota access pipeline . the next hamburger is Obama ’ S.	hamburger	0,882178843	bert_humedit	1	3	2	3
8	211301	I’m an environmental reporter from Flint. Even I ignored the water crisis story.	AllTheNewsKaggle	I ’ M an environmental reporter from Flint. Even I ignored the water crisis story.	I ’ M an environmental reporter from Flint . Even I ignored the water [MASK] story .	I ’ M an environmental reporter from Flint . Even I ignored the water skiing story .	skiing	0,8752777576	bert_humedit	1	3	3	3
10	181222	Wall Street dips before French election, but up for week	AllTheNewsKaggle	Wall Street dips before French election, but up for week	Wall Street dips before French [MASK] , but up for week	Wall Street dips before French toast , but up for week	toast	0,0142651759	bert_humedit	2	3	3	3
12	146258	Krispy Kreme-lin: Trump and Schumer trade tweets over Putin doughnut photo	AllTheNewsComponentsOne	Krispy Kreme-Lin: Trump and Schumer trade Tweets over Putin Doughnut photo	Krispy Kreme - Lin : Trump and Schumer trade Tweets over [MASK] Doughnut photo	Krispy Kreme - Lin : Trump and Schumer trade Tweets over eating Doughnut photo	eating	0,0003115961	bert_humedit	0	3	1	3
15	186947	China says defense spending pace to slow, to improve intelligence	AllTheNewsComponentsOne	China says defense spending pace to slow, to improve intelligence	China says [MASK] spending pace to slow , to improve intelligence	China says cake spending pace to slow , to improve intelligence	cake	0,0002037764	bert_humedit	2	3	3	3
16	199534	Why Obama changed his mind — and won’t allow oil drilling in the Atlantic after all	AllTheNewsKaggle	Why Obama changed his mind — and won ’ t allow oil drilling in the Atlantic after all	Why Obama changed his mind — and won ’ t allow oil [MASK] in the Atlantic after all	Why Obama changed his mind — and won ’ t allow oil liquor in the Atlantic after all	liquor	0,0005977816	bert_humedit	1	3	0	3
29	181461	Consumer confidence slips; new home sales hit eight-month high	AllTheNewsComponentsOne	Consumer confidence slips; new home sales hit Eight-Month high	Consumer [MASK] slips ; new home sales hit Eight - Month high	Consumer dent slips ; new home sales hit Eight - Month high	dent	0,0006081855	bert_humedit	0	2	1	2
31	157918	In firing human editors, Facebook has lost the fight against fake news	AllTheNewsComponentsOne	In firing human editors, Facebook has lost the fight against fake news	In firing human editors , [MASK] has lost the fight against fake news	In firing human editors , santa has lost the fight against fake news	santa	0,0004238433	bert_humedit	2	3	3	3
33	151542	Who will scoop Emmy awards on Sunday? Our critics go head to head	AllTheNewsComponentsOne	Who will scoop Emmy awards on Sunday? our critics go head to head	Who will scoop Emmy awards on Sunday ? our critics [MASK] head to head	Who will scoop Emmy awards on Sunday ? our critics eating head to head	eating	0,859048903	bert_humedit	1	3	3	3
