INPUT:headline	GOLDEN:hum	GOLDEN:gram
Zika: Red Cross relying on' Self-Deferral' to protect blood supply	0	3
French media Censor identities of terrorists- ’ to avoid glorification ’	0	3
You won ’ t believe why Espn said they hired Jordan Rodgers	0	3
Jeb Bush won ’ t vote Trump: he hasn ’ t shown ’ respect for the Constitution ’	0	3
The verdant food of Iran Entices at Persian new year- the New York Times	0	3
‘ cash me outside ’ girl is a Bi-Coastal menace to America	0	3
How Beachgoers helped save two shark attack victims- CNN Video	0	3
Labor movement braces for three-front battle with Trump, Congress and courts	0	3
Racist texts from three San Francisco cops could affect hundreds of cases	0	3
Another Clinton Email scandal, Cont'D	0	3
Dubai travel guide	0	3
Trump orders joint chiefs to draft Isis strategy, restructuring of security Council	0	3
J& J ordered to pay$ 110 million in U. S. Talc-Powder trial	0	3
