	Unnamed: 0	id	title_orig_case	source	headline	masked	predicted	new span	predicted_score	method	Humorousness	Appropriateness	Grammaticality
0	0	163896	Is This Going To Make Me A Different Person? Gender Transition Questions Answered	AllTheNewsComponentsOne	Is this going to make me a different person? gender transition questions answered	Is this going to make me a different person ? gender [MASK] questions answered	Is this going to make me a different person ? gender monkey questions answered	monkey	0.9997127652168274	bert_humedit	0	0	2
1	1	143206	Rio has turned Hope Solo into public enemy No. 1	AllTheNewsComponentsOne	Rio has turned hope solo into public enemy no. 1	Rio has turned hope solo into public enemy [MASK] . 1	Rio has turned hope solo into public enemy chihuahua . 1	chihuahua	0.9997428059577942	bert_humedit	1	1	2
2	2	1605	WHO says new drugs urgently needed to fight superbugs	Harvard	Who says new drugs urgently needed to fight Superbugs	Who says new drugs urgently [MASK] to fight Superbugs	Who says new drugs urgently going to fight Superbugs	going	0.9510826468467712	bert_humedit	0	3	2
3	3	69263	A top investor nails why Microsoft is getting more respect in Silicon Valley these days	AllTheNewsComponentsOne	A top investor nails why Microsoft is getting more respect in Silicon Valley these days	A top investor nails [MASK] Microsoft is getting more respect in Silicon Valley these days	A top investor nails microsoft Microsoft is getting more respect in Silicon Valley these days	microsoft	0.8176785111427307	bert_humedit	0	2	1
4	4	212657	As he moves campaign to battlegrounds, which Donald Trump will show up?	AllTheNewsKaggle	As he moves campaign to battlegrounds, which Donald Trump will show up?	As he moves campaign to battlegrounds , which Donald [MASK] will show up ?	As he moves campaign to battlegrounds , which Donald duck will show up ?	duck	0.9815598726272583	bert_humedit	3	1	3
5	5	203477	Trump has endorsed the Dakota Access Pipeline. The next move is Obama’s.	AllTheNewsComponentsOne	Trump has endorsed the Dakota access pipeline. the next move is Obama ’ S.	Trump has endorsed the Dakota access pipeline . the next [MASK] is Obama ’ S.	Trump has endorsed the Dakota access pipeline . the next hamburger is Obama ’ S.	hamburger	0.8821788430213928	bert_humedit	1	2	3
6	6	166686	Making Sense Of A Song Called ’Widow Maker’	AllTheNewsKaggle	Making sense of a song called ’ widow maker ’	Making sense of a song [MASK] ’ widow maker ’	Making sense of a song cats ’ widow maker ’	cats	0.9710058569908142	bert_humedit	2	1	1
7	7	129372	US ship sent as warning to North Korea was sailing away from country	AllTheNewsKaggle	Us ship sent as warning to North Korea was sailing away from country	Us ship sent as warning to North Korea was sailing [MASK] from country	Us ship sent as warning to North Korea was sailing departed from country	departed	0.836966335773468	bert_humedit	0	1	3
8	8	211301	I’m an environmental reporter from Flint. Even I ignored the water crisis story.	AllTheNewsKaggle	I ’ M an environmental reporter from Flint. Even I ignored the water crisis story.	I ’ M an environmental reporter from Flint . Even I ignored the water [MASK] story .	I ’ M an environmental reporter from Flint . Even I ignored the water skiing story .	skiing	0.8752777576446533	bert_humedit	1	2	3
9	9	162105	With Town Hall Script Flipped On GOP, Will History Repeat Itself?	AllTheNewsComponentsOne	With town hall script flipped on GOP, will history repeat itself?	With town hall [MASK] flipped on GOP , will history repeat itself ?	With town hall stool flipped on GOP , will history repeat itself ?	stool	0.9519422054290771	bert_humedit	1	1	1
10	10	181222	Wall Street dips before French election, but up for week	AllTheNewsKaggle	Wall Street dips before French election, but up for week	Wall Street dips before French [MASK] , but up for week	Wall Street dips before French toast , but up for week	toast	0.01426517590880394	bert_humedit	2	2	3
