	id	title_orig_case	source	headline	masked	predicted	new span	predicted_score	method	Humorousness	Grammaticality	Humorousness_b	Grammaticality_b
1	143206	Rio has turned Hope Solo into public enemy No. 1	AllTheNewsComponentsOne	Rio has turned hope solo into public enemy no. 1	Rio has turned hope solo into public enemy [MASK] . 1	Rio has turned hope solo into public enemy chihuahua . 1	chihuahua	0,999742806	bert_humedit	1	2	1	3
2	1605	WHO says new drugs urgently needed to fight superbugs	Harvard	Who says new drugs urgently needed to fight Superbugs	Who says new drugs urgently [MASK] to fight Superbugs	Who says new drugs urgently going to fight Superbugs	going	0,9510826468	bert_humedit	0	2	0	3
3	69263	A top investor nails why Microsoft is getting more respect in Silicon Valley these days	AllTheNewsComponentsOne	A top investor nails why Microsoft is getting more respect in Silicon Valley these days	A top investor nails [MASK] Microsoft is getting more respect in Silicon Valley these days	A top investor nails microsoft Microsoft is getting more respect in Silicon Valley these days	microsoft	0,8176785111	bert_humedit	0	1	0	0
6	166686	Making Sense Of A Song Called ’Widow Maker’	AllTheNewsKaggle	Making sense of a song called ’ widow maker ’	Making sense of a song [MASK] ’ widow maker ’	Making sense of a song cats ’ widow maker ’	cats	0,971005857	bert_humedit	2	1	2	3
13	144953	Amateur bartender Rachel Maddow serves up the perfect primary day cocktails	AllTheNewsComponentsOne	Amateur bartender Rachel Maddow serves up the perfect primary day Cocktails	Amateur bartender [MASK] Maddow serves up the perfect primary day Cocktails	Amateur bartender bob Maddow serves up the perfect primary day Cocktails	bob	0,0002660047	bert_humedit	0	3	0	0
14	52939	Memo to Trump: Call Nancy Pelosi	AllTheNewsComponentsOne	Memo to Trump: call Nancy Pelosi	Memo to Trump : call Nancy [MASK]	Memo to Trump : call Nancy chu	chu	0,0001821433	bert_humedit	0	3	0	0
17	139192	Bill Cosby and Muhammad Ali both coveted the same Coppola script	AllTheNewsComponentsOne	Bill Cosby and Muhammad Ali both coveted the same Coppola script	Bill Cosby and Muhammad Ali both [MASK] the same Coppola script	Bill Cosby and Muhammad Ali both owned the same Coppola script	owned	0,0668818355	bert_humedit	0	3	0	0
18	142955	Toddler born with no arms teaches herself how to eat	AllTheNewsKaggle	Toddler born with no arms teaches herself how to eat	Toddler born with no arms [MASK] herself how to eat	Toddler born with no arms teaching herself how to eat	teaching	0,0547486991	bert_humedit	0	3	0	0
20	3098	Iconic New York Columnist Jimmy Breslin Dead At 88	Harvard	Iconic New York columnist Jimmy Breslin dead at 88	Iconic New York columnist Jimmy [MASK] dead at 88	Iconic New York columnist Jimmy cicero dead at 88	cicero	0,0005209144	bert_humedit	0	3	0	0
21	80583	The Atlantic Daily: A Shift in Perspective	AllTheNewsComponentsOne	The Atlantic daily: a shift in perspective	The Atlantic [MASK] : a shift in perspective	The Atlantic navigator : a shift in perspective	navigator	0,000454682	bert_humedit	0	3	0	2
23	63304	Lindsey Graham's political career	AllTheNewsComponentsOne	Lindsey Graham'S political career	Lindsey Graham 'S [MASK] career	Lindsey Graham 'S disco career	disco	0,0096255392	bert_humedit	2	3	2	2
26	119817	UK Leaders Must Let the Brexit Vote Stand	AllTheNewsKaggle	UK leaders must let the Brexit vote stand	UK leaders must let the Brexit [MASK] stand	UK leaders must let the Brexit sandwich stand	sandwich	8.774472371442243e-05	bert_humedit	2	3	2	2
30	97525	Reuters: Obama To Announce SCOTUS Nominee On Wednesday	AllTheNewsKaggle	Reuters: Obama to announce Scotus nominee on Wednesday	Reuters : [MASK] to announce Scotus nominee on Wednesday	Reuters : going to announce Scotus nominee on Wednesday	going	0,1597446203	bert_humedit	0	2	0	0
32	184835	New Year's Eve revelers pack NYC's Times Square under tight security	AllTheNewsComponentsOne	New Year's Eve Revelers pack Nyc'S times square under tight security	New Year 's Eve [MASK] pack Nyc 'S times square under tight security	New Year 's Eve ball pack Nyc 'S times square under tight security	ball	0,0002337364	bert_humedit	0	3	0	0
39	210456	Sorry, Marco Rubio, it’s time to fold	AllTheNewsComponentsOne	Sorry, Marco Rubio, it ’ s time to fold	Sorry , Marco [MASK] , it ’ s time to fold	Sorry , Marco polo , it ’ s time to fold	polo	0,0002327727	bert_humedit	0	3	0	0
42	199819	After a big loss in North Carolina, LGBTQ leaders explain what's next	AllTheNewsComponentsOne	After a big loss in North Carolina, Lgbtq leaders explain What's next	After a big loss in North Carolina , [MASK] leaders explain What 's next	After a big loss in North Carolina , gym leaders explain What 's next	gym	0,0001788418	bert_humedit	2	3	2	2
43	153608	The EpiPen boss tried to defend price hikes to Congress. No one bought it	AllTheNewsKaggle	The Epipen boss tried to defend price HIKES to Congress. No one bought it	The Epipen [MASK] tried to defend price HIKES to Congress . No one bought it	The Epipen salesman tried to defend price HIKES to Congress . No one bought it	salesman	0,0042426591	bert_humedit	0	3	0	0
44	27466	ABC Faces Boycotts, Backlash after ’Last Man Standing’ Cancelled	AllTheNewsKaggle	ABC faces boycotts, backlash after ’ last man standing ’ cancelled	ABC [MASK] boycotts , backlash after ’ last man standing ’ cancelled	ABC air boycotts , backlash after ’ last man standing ’ cancelled	air	0,0006621163	bert_humedit	0	3	0	0
